Long,Lat,Size
-71.07306715,42.29435407,47
-71.12831041,42.28688845,38
-71.07096263,42.31987076,117
-71.1153081,42.31499993,35
-71.13130508,42.27905923,7
-71.15597364,42.29184853,41
-71.06940877,42.339541989999994,661
-71.14378251,42.35558007,16
-71.12255595,42.24801184,20
-71.03618949,42.3477848,26
-71.07918459,42.30422176,79
-71.10061349,42.330159445,35
-71.06128884,42.37468799,51
-71.12893614000001,42.232749549999994,29
-71.05779953,42.32825498,23
-71.115740445,42.307615334999994,41
-71.08477887,42.304339500000005,169
-71.08641394,42.33600039,69
-71.08510501,42.28956988,145
-71.03761239,42.33061365,37
-71.14813948,42.2578406,93
-71.05784812,42.31792539999999,26
-71.12357316,42.35894533,7
-71.07384945,42.311394799999995,23
-71.07787472,42.31803027,103
-71.09461109,42.26726416,79
-71.03019240000002,42.33362325,46
-71.10621876,42.31860691,46
-71.05266752,42.35484614,21
-71.09514602,42.28869845,89
-71.07296566,42.30461251,183
-71.10605708,42.26466928,80
-71.042955835,42.285708635,52
-71.0743865,42.34657497,48
-71.054684345,42.31359530500001,92
-71.07706453,42.28701738,225
-71.03930935,42.38260122,107
-71.10810328,42.35027941,20
-71.07324503,42.33350034,211
-71.10181751,42.32638832,32
-71.06833609,42.352365999999996,63
-71.16121989,42.34982008,17
-71.06327912,42.30639748,35
-71.06580411,42.29196624,39
-71.08285104,42.33094752,149
-71.12390289,42.28450941,24
-71.08997651000001,42.295445305,85
-71.05767384,42.28958015,35
-71.12241706,42.26121311,71
-71.00772965,42.38630618,91
-71.17034661,42.35157076,26
-71.09108923,42.31116648,61
-71.09531354,42.3246387,42
-71.09698826,42.34284239,31
-71.09615191500001,42.348891075,141
-71.08362479,42.34194788,121
-71.04728059,42.29409262,60
-71.11587798,42.27531312,194
-71.08007661,42.31089986,97
-71.15989759,42.35574817,35
-71.05533044,42.339621,45
-71.03458623,42.37350195,26
-71.05177883,42.33799610666667,96
-71.06835343,42.32856401,111
-71.16014100000001,42.278273999999996,69
-71.11771187,42.28173232,22
-71.07038932,42.34827698,98
-71.00842413,42.39269663,96
-71.09922539,42.27982696,36
-71.04484599999999,42.349287,65
-71.08919673,42.27376816,35
-71.11334429,42.32139189,29
-71.06048592,42.35193461,152
-71.06581008,42.31465584,67
-71.08737452,42.3465558,159
-71.06332517,42.29786606,67
-71.13117064,42.35351814,30
-71.08051940999998,42.326968019999995,429
-71.05288819,42.35942556,109
-71.0891036,42.31363297,45
-71.07763999,42.35069538,58
-71.05750327,42.31168453,55
-71.06674608,42.30344073,165
-71.08265043,42.27626552,84
-71.11138401,42.26693203,28
-71.04539197999999,42.336824220000004,57
-71.14002093,42.35939228,34
-71.13758554,42.30047732,23
-71.0769441,42.29104501,67
-71.05487852,42.29620667,72
-71.09438572,42.33577842,40
-71.14086938,42.28772822,18
-71.06472238,42.35838006,41
-71.05027167,42.31928523,59
-71.07437929875002,42.335547035000005,41
-71.07307742,42.29855898,68
-71.02857705,42.37950444,45
-71.04210959,42.31779354,255
-71.08194011,42.28297379,99
-71.01730351,42.38298068,81
-71.08956259,42.349246799999996,57
-71.08941724,42.28121227,35
-71.12508267,42.27355831,30
-71.14492138,42.345837599999996,90
-71.03929078,42.37081805,625
-71.11951626,42.25856618,26
-71.15565238,42.26112266,39
-71.11915243,42.25188297,79
-71.11284333,42.3325165,27
-71.0998949,42.3351998,66
-71.083799446,42.328687674,210
-71.07533317,42.302026319999996,75
-71.13885318,42.34866488,46
-71.15321411,42.35111771,31
-71.05311827,42.36517725,40
-71.0753672,42.38356867,67
-71.10783195,42.27299025,33
-71.10298073,42.30492239,115
-71.07374541,42.28265604,97
-71.02466343,42.37525782,54
-71.06139886,42.35704752,12
-71.11186702333333,42.28449480333333,138
-71.07385464,42.31598379,55
-71.131313,42.23604809,13
-71.15282937500001,42.287687004999995,79
-71.12832469,42.35994365,7
-71.07073285,42.379580100000005,26
-71.12525818,42.24309004,9
-71.08277637,42.34862382,415
-71.08008791,42.33593698,98
-71.13035022,42.24260011,75
-71.09034535,42.32712014,40
-71.17066429,42.29431524,3
