Long,Lat,Size
-71.09610805,42.33163881,449
-71.0212749275,42.3835599025,269
-71.12171645,42.32074103,29
-71.10143339,42.34211308,122
-71.121319605,42.309879179999996,124
-71.11730039,42.28570914,267
-71.05576852333333,42.338100383333334,328
-71.06976518,42.27516044,200
-71.10087902,42.32469443,462
-71.10693548,42.26646668,147
-71.057858424,42.35798988399999,535
-71.05963854250001,42.307689595,591
-71.16756251,42.34917598,110
-71.08277356,42.32224255,406
-71.127527045,42.255377255,247
-71.07213904,42.38117064,138
-71.09459368,42.2778728775,504
-71.07968105,42.313268475,252
-71.03950886857143,42.37012100142857,1160
-71.13134558125,42.35137964625,588
-71.08285579999999,42.33961848,463
-71.08537838,42.34522836,457
-71.11112429,42.32955246,141
-71.0595439325,42.3502200825,524
-71.10994946,42.27298632,243
-71.05064614,42.33255367,400
-71.06602232,42.35066174,461
-71.05676997500001,42.342225245,213
-71.08735708,42.27307979,194
-71.07782188166668,42.350264166666655,658
-71.07626098,42.3503787,530
-71.09666937,42.325117065,234
-71.129396556,42.284885256,346
-71.14522971,42.34988575,247
-71.14522971,42.34988575,235
-71.14492138,42.345837599999996,87
-71.11719143,42.25711406,96
-71.04842736,42.31682137,370
-71.17059133666667,42.28112680666667,119
-71.0640821,42.33796886,121
-71.14369114,42.28520517,339
-71.08530390000001,42.31441222,109
-71.14142437,42.24060494,125
-71.05947229,42.37277547,234
-71.078275995,42.286594275,224
-71.04131294333332,42.287242213333336,340
-71.06777275,42.30190019,309
-71.06837370333334,42.2956917,656
-71.0536877625,42.327153865,210
-71.05423542,42.375027200000005,220
-71.074052855,42.284083817500004,338
-71.07179293666667,42.34916711666667,250
-71.12004045,42.24967245,165
-71.15736384,42.35439243,151
-71.10266555,42.31417005,616
-71.08103297,42.335701205,226
-71.03926857,42.38115047,226
-71.17204938,42.26932098,383
-71.03527442000001,42.376242129999994,583
-71.07583181,42.337873775000006,173
-71.15171035,42.29228109,547
-71.07266002666667,42.29830762666667,78
-71.13169661,42.25569954,180
-71.09009927,42.343250542,290
-71.07125917,42.28202294,154
-71.15020686,42.27904672,213
-71.09682556,42.278557570000004,363
-71.131005425,42.234347209999996,600
-71.08515552,42.30316091,582
-71.06890381,42.31236298,454
-71.11488033,42.28411205,392
-71.09867989,42.33436563,111
-71.12773515,42.27786045,345
-71.07985769333334,42.308724903333335,168
-71.08766246,42.27543877,209
-71.05234309,42.284715675,48
-71.11750278,42.35996672,290
-71.098067665,42.282658819999995,533
-71.037245275,42.33390885,1347
-71.12401947,42.25621592,706
-71.06455723,42.31240556666666,191
-71.09399300000001,42.292033200000006,201
-71.09211648,42.32903974,214
-71.08503786,42.29474312,86
-71.14332320000001,42.25044769,184
-71.14790214666668,42.34061623666667,230
-71.02920683,42.33486931,94
-71.15729870000001,42.28026694,154
-71.09826597,42.34746241,430
-71.0796118025,42.2757528425,184
-71.06192342333333,42.29379405333333,225
-71.06437558,42.35889144,272
-71.06579592,42.32553801,397
-71.05183812,42.36294769,390
-71.05542897,42.282814425000005,65
-71.14346218,42.29360637,114
-71.13407707,42.28631799,107
-71.06418657,42.38187904,68
-71.07406771,42.28649435,573
-71.05974727333334,42.30107128666667,300
-71.09224880000001,42.288881007499995,124
-71.10442024,42.32947458,264
-71.05908258,42.30470399,220
-71.07985732,42.34508761,258
-71.07459011,42.2909116275,416
-71.06359462999998,42.290657350000004,431
-71.05053786999999,42.33783750999999,63
-71.02533782,42.36252502,94
-71.06059330333333,42.36603572333334,91
-71.13218909999999,42.30298546,736
-71.05798818250001,42.3780513775,477
-71.05344416999999,42.35709558571428,106
-71.16837041,42.26479485,190
-71.14970869,42.26995987,349
-71.05483491666666,42.36734177,347
-71.10298686,42.322913975000006,242
-71.03863129999999,42.38012323,94
-71.052302,42.35232,331
-71.10840592,42.31974094,251
-71.04210959,42.31779354,109
-71.063691495,42.29669892,498
-71.06556391999999,42.301524654999994,380
-71.06522923333334,42.30790419666667,363
-71.09371811749999,42.26934178,118
-71.10359107,42.34416701,209
-71.06855538,42.35125131,894
-71.05486997875,42.34118838875,201
-71.15166308,42.33667474,181
-71.12412753,42.29019694,156
-71.15035495,42.336290590000004,194
-71.05845188,42.36611988,347
-71.13612792,42.34650102,525
-71.056943815,42.3616065,221
-71.09567995,42.31741922,547
-71.08277637,42.34862382,132
-71.07873065,42.29219838,348
-71.07150861,42.30291764,323
-71.08393634000001,42.332922402,309
-71.09782845599999,42.341952473999996,141
-71.12226098999999,42.29299617,149
-71.08544674666668,42.28865712333333,247
-71.07687691999999,42.280054515,72
-71.05456286,42.34191204,475
-71.13408969666666,42.354542226666666,142
-71.07752992,42.29881915,182
-71.15918462,42.29939742,139
-71.15106252,42.34829203,369
-71.07904862999999,42.321131054999995,326
-71.10023443,42.268471385,413
-71.07116784499999,42.3128046075,168
-71.159008125,42.345106474999994,191
-71.05938499,42.28755135,488
-71.11414509,42.31265126,104
-71.13823845,42.28716328,270
-71.15508957,42.34790953,311
-71.10165376,42.33308097,327
-71.06006701,42.3555678,78
-71.16342039,42.27608744,251
-71.14564737500001,42.34124231,350
-71.066162045,42.34805203,195
-71.0787976,42.292708215000005,248
-71.06957385,42.28413536,755
